CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: September - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-87.5     144.5     12.2
-87.5     145.5     12.2
-87.5     146.5     12.2
-87.5     147.5     12.2
-87.5     148.5     12.24
-87.5     149.5     12.24
-87.5     150.5     12.24
-87.5     151.5     12.24
-87.5     152.5     12.24
-87.5     153.5     12.24
-87.5     154.5     12.24
-87.5     155.5     12.24
-87.5     156.5     12.28
-87.5     157.5     12.28
-87.5     158.5     12.28
-87.5     159.5     12.28
-87.5     160.5     12.28
-87.5     161.5     12.28
-87.5     162.5     12.28
-87.5     163.5     12.28
-87.5     164.5     12.32
-87.5     165.5     12.32
-87.5     166.5     12.32
-87.5     167.5     12.32
-87.5     168.5     12.32
-87.5     169.5     12.32
-87.5     170.5     12.32
-87.5     171.5     12.32
-87.5     172.5     12.36
-87.5     173.5     12.36
-87.5     174.5     12.36
-87.5     175.5     12.36
-87.5     176.5     12.36
-87.5     177.5     12.36
-87.5     178.5     12.36
-87.5     179.5     12.36
-87.5     180.5     12.41
-87.5     181.5     12.41
-87.5     182.5     12.41
-87.5     183.5     12.41
-87.5     184.5     12.41
-87.5     185.5     12.41
-87.5     186.5     12.41
-87.5     187.5     12.41
-87.5     188.5     12.45
-87.5     189.5     12.45
-87.5     190.5     12.45
-87.5     191.5     12.45
-87.5     192.5     12.45
-87.5     193.5     12.45
-87.5     194.5     12.45
-87.5     195.5     12.45
-87.5     196.5     12.49
-87.5     197.5     12.49
-87.5     198.5     12.49
-87.5     199.5     12.49
-87.5     200.5     12.49
-87.5     201.5     12.49
-87.5     202.5     12.49
-87.5     203.5     12.49
-87.5     204.5     12.53
-87.5     205.5     12.53
-87.5     206.5     12.53
-87.5     207.5     12.53
-87.5     208.5     12.53
-87.5     209.5     12.53
-87.5     210.5     12.53
-87.5     211.5     12.53
-87.5     212.5     12.57
-87.5     213.5     12.57
-87.5     214.5     12.57
-87.5     215.5     12.57
-87.5     216.5     12.57
-87.5     217.5     12.57
-87.5     218.5     12.57
-87.5     219.5     12.57
-87.5     220.5     12.6
-87.5     221.5     12.6
-87.5     222.5     12.6
-87.5     223.5     12.6
-87.5     224.5     12.6
-87.5     225.5     12.6
-87.5     226.5     12.6
-87.5     227.5     12.6
-87.5     228.5     12.63
-87.5     229.5     12.63
-87.5     230.5     12.63
-87.5     231.5     12.63
-87.5     232.5     12.63
-87.5     233.5     12.63
-87.5     234.5     12.63
-87.5     235.5     12.63
-87.5     236.5     12.66
-87.5     237.5     12.66
-87.5     238.5     12.66
-87.5     239.5     12.66
-87.5     240.5     12.66
-87.5     241.5     12.66
-87.5     242.5     12.66
-87.5     243.5     12.66
-87.5     244.5     12.68
-87.5     245.5     12.68
-87.5     246.5     12.68
-87.5     247.5     12.68
-87.5     248.5     12.68
-87.5     249.5     12.68
-87.5     250.5     12.68
-87.5     251.5     12.68
-87.5     252.5     12.69
-87.5     253.5     12.69
-87.5     254.5     12.69
